City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,75.47,few clouds,-46.1927,168.8643,Ellie's Villa
3,Busselton,AU,83.05,clear sky,-33.65,115.3333,Observatory Guest House
7,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Hobart,AU,73.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
15,Lorengau,PG,84.15,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
16,Parrita,CR,82.17,few clouds,9.5201,-84.3225,Beso del Viento
17,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
18,Bambanglipuro,ID,82.71,moderate rain,-7.95,110.2833,Puri Brata
19,Sedam,IN,71.87,scattered clouds,17.1773,77.2824,Lakshmi Krupa
25,Lakes Entrance,AU,71.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
27,Waipawa,NZ,72.23,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
30,Samarai,PG,83.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
33,Keffi,NG,73.78,broken clouds,8.8486,7.8736,Imam Family
36,Bengkulu,ID,79.79,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
37,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
39,Arraial Do Cabo,BR,70.5,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
42,Dapaong,TG,74.3,clear sky,10.8639,0.205,Hotel Caroli
44,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
46,Soe,ID,76.98,moderate rain,-9.8607,124.284,Dena Hotel
47,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
48,New Norfolk,AU,72.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
49,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
54,Kisangani,CD,70.48,scattered clouds,0.5167,25.2,Grand Ramela Hotel
