City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,16,NZ,few clouds,2022-02-10 02:30:10,29,-46.1927,168.8643,75.47,8.25
1,Villa Sandino,8,NI,clear sky,2022-02-10 02:30:11,89,12.0483,-84.9936,68.59,8.12
2,Cape Town,75,ZA,broken clouds,2022-02-10 02:27:20,89,-33.9258,18.4232,68.88,5.75
3,Busselton,5,AU,clear sky,2022-02-10 02:30:12,36,-33.65,115.3333,83.05,3.02
4,Ribeira Grande,1,PT,clear sky,2022-02-10 02:30:12,70,38.5167,-28.7,59.14,12.91
5,Erdenet,100,MN,overcast clouds,2022-02-10 02:30:13,88,49.0333,104.0833,0.39,2.68
6,Port Alfred,1,ZA,clear sky,2022-02-10 02:20:53,84,-33.5906,26.891,64.9,9.08
7,Saint-Philippe,51,RE,broken clouds,2022-02-10 02:22:11,79,-21.3585,55.7679,74.79,2.59
8,Hobart,75,AU,broken clouds,2022-02-10 02:30:07,43,-42.8794,147.3294,73.26,16.11
9,Melbourne,0,US,clear sky,2022-02-10 02:28:29,76,28.0836,-80.6081,59.97,9.22
10,Coquimbo,100,CL,overcast clouds,2022-02-10 02:28:41,88,-29.9533,-71.3436,64.13,6.91
11,Saskylakh,99,RU,overcast clouds,2022-02-10 02:20:57,90,71.9167,114.0833,-0.47,13.47
12,Upernavik,100,GL,overcast clouds,2022-02-10 02:30:14,79,72.7868,-56.1549,-13.56,8.37
13,Bredasdorp,100,ZA,overcast clouds,2022-02-10 02:20:50,88,-34.5322,20.0403,63.72,6.91
14,Severo-Kurilsk,100,RU,overcast clouds,2022-02-10 02:30:15,71,50.6789,156.125,30.78,18.48
15,Lorengau,62,PG,broken clouds,2022-02-10 02:30:16,74,-2.0226,147.2712,84.15,8.7
16,Parrita,23,CR,few clouds,2022-02-10 02:30:16,81,9.5201,-84.3225,82.17,2.91
17,Avarua,20,CK,few clouds,2022-02-10 02:20:45,83,-21.2078,-159.775,80.65,13.8
18,Bambanglipuro,99,ID,moderate rain,2022-02-10 02:30:17,72,-7.95,110.2833,82.71,12.95
